,ordinaldate,blue,green,red,nir,swir1,swir2,therm,tcb,tcg,tcw,fmask
178,730229,16000,6991,7106,7261,6257,5274,-459,17453,-2600,-1940,4
179,730245,16000,4423,4464,5085,4531,3774,-801,12788,-2245,-1613,4
180,730261,168,281,308,599,525,399,2062,922,177,-326,0
181,730269,233,280,254,709,569,369,1816,975,286,-331,0
182,730277,809,943,929,1859,1486,1138,241,2867,517,-839,0
183,730285,251,348,271,1224,829,484,2386,1420,652,-458,0
184,730293,234,384,334,1367,1040,562,2062,1633,718,-595,0
185,730301,271,376,342,1491,1030,555,2284,1708,809,-558,0
186,730309,318,491,391,1748,970,575,1471,1926,953,-439,0
187,730325,274,438,348,1909,1101,582,2106,2006,1120,-527,0
188,730333,226,428,284,2132,1212,628,2335,2130,1332,-610,0
189,730341,314,548,431,2379,1294,619,2062,2444,1416,-540,0
190,730349,252,467,344,2543,1323,621,2130,2454,1617,-574,0
191,730357,231,499,391,2607,1401,710,2062,2570,1628,-648,0
192,730373,468,719,629,2660,1702,863,1471,3002,1444,-811,0
193,730381,326,512,485,2112,1585,843,1921,2451,1151,-917,0
194,730389,372,575,546,2254,1959,1125,1564,2785,1172,-1283,0
195,730397,284,503,602,2187,1892,1024,1382,2685,1135,-1189,0
196,730405,2921,2944,3030,3741,3794,3642,-1216,7676,-165,-2449,4
197,730485,2244,2340,2430,2675,1281,741,-293,4882,-54,496,4
198,730541,5313,5276,5308,5499,3250,3034,-617,11091,-699,-111,4
199,730557,553,587,609,728,603,388,156,1390,4,-180,0
200,730565,306,341,357,503,484,373,947,928,46,-270,0
201,730573,317,312,348,516,559,420,932,955,58,-355,0
202,730589,1046,1069,1134,1532,1197,842,-158,2734,133,-429,4
